fulcrum_id,parcel_no,prop_add,prop_type_name,genprop,condition,comments,x,y,photo1,photo2,photo3,photo4,var,value
75f71523-ada7-4fd4-9275-79371dec8d1b,OC161200108,511 E EIGHTH STREET,"Single family home, attached garage",Occupied   ,moderate rehabilitation needed,blank,-83.24353794,31.59879718,"1d65ddf2-b922-4b01-859a-0dcd435b0814,aa534ea5-c1fc-436e-a962-591dd0947a77",fe8a7b4b-547a-44fb-ae69-1de47e365ef3,blank,blank,lot,lot_satis
af010831-1a46-49c8-b637-a037fb235df7,OC221120099,606 E SIXTH STREET,Vacant,   Status unknown,well maintained,blank,-83.24174399,31.59694006,blank,blank,blank,blank,lot,lot_satis
f48dc296-6234-4d08-b474-67cc54625396,OC221120101,0 E SIXTH STREET,Vacant,   Status unknown,well maintained,blank,-83.24142644,31.59693318,blank,blank,blank,blank,lot,lot_satis
83fe5524-bf74-4140-bf7b-a79097728208,OC221120098,0 E SIXTH STREET,Vacant,   Status unknown,well maintained,blank,-83.24190934,31.59694438,blank,blank,blank,blank,lot,lot_satis
37c1fa58-ca4b-4f7f-81ca-61152b89e2dc,OC211320038,0 LINCOLN ST,Vacant,Occupied   ,well maintained,blank,-83.24182182,31.60223745,834cce0d-6da4-4506-a275-7676d71e488f,blank,blank,blank,lot,lot_junk
f34f17cb-f094-442a-b98c-e013ed05bb72,OC221290013,0 E TENTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.24126615,31.60130969,blank,blank,blank,blank,lot,lot_satis
763d0d03-7e64-42c8-bf7a-a1068c22a0a3,OC221290012,609 E TENTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.24142619,31.60130354,blank,blank,blank,blank,lot,lot_satis
6ce063bd-7ab6-4815-a0f9-be650cfc650f,OC22129001000A,0 TENTH STREET,Vacant,Occupied   ,well maintained,blank,-83.24157905,31.6013051,blank,blank,blank,blank,lot,lot_satis
d27766f7-bea3-49f3-a7b3-bd08436696b3,OC221290010,609 E TENTH STREET,Mobile home,Occupied   ,well maintained,blank,-83.24172155,31.60130351,4d303473-1351-49e8-a584-0ae83cb94da3,blank,blank,blank,lot,lot_satis
473bc111-c879-4c47-8743-478eeb894867,OC221290009,0 E TENTH STREET,Vacant,Occupied   ,well maintained,blank,-83.2419137,31.60130493,blank,blank,blank,blank,lot,lot_satis
d935ad30-7011-4039-927d-1f5db71db5d2,OC221290007,609 N LINCOLN ST,Vacant, Unoccupied  ,well maintained,blank,-83.24243805,31.60129997,1a5a2f10-9967-4328-9467-a82daecc7aab,blank,blank,blank,lot,lot_satis
20a90f39-3662-4d05-aa5a-ab25e3875555,OC160310039,306 E SIXTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.24689016,31.59705062,blank,blank,blank,blank,lot,lot_satis
0a69cdf8-4d56-4a02-8c17-384372d14849,OC221290027,0 E NINTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.24244818,31.60074012,6620b40b-8fc7-441e-8dfe-9485799f74e5,blank,blank,blank,lot,lot_satis
052f0d83-795c-4b54-be64-d1c9e97df7c5,OC221220051,509 N LINCOLN ST,"Single family home, no garage", Unoccupied  ,dilapidated,blank,-83.24248397,31.60001228,adeba477-63cf-4cb9-9dc1-b1660d8cd04c,blank,blank,blank,lot,lot_missingcover
d6a46657-7cf1-4975-a4d2-428fa173fbc8,OC221220057,505 N LINCOLN ST,"Single family home, detached garage",Occupied   ,substantial rehabilitation needed,blank,-83.24240205,31.59954895,8366a586-76bd-4c62-952d-fe2d1a3f1b12,blank,blank,blank,lot,lot_satis
f8b5ef5d-7c78-41e4-aa0a-4b33f9078769,OC160390026,404 N MAPLE ST,"Single family home, no garage",Occupied   ,dilapidated,blank,-83.246475040000007,31.5983968,608901cf-fe12-4d89-826b-58fc7847bb3a,blank,blank,blank,lot,lot_porchstorage
c01d19d4-7035-4ae1-a0a4-8b07c7818707,OC160390025,406 N MAPLE ST,"Single family home, no garage", Unoccupied  ,dilapidated,blank,-83.24646749,31.59854666,af320f0f-72c9-4f03-9712-d1d729a5afae,blank,blank,blank,lot,lot_trees
058d11c5-270c-4a3b-a478-d6303d85c864,OC161200111,410 N LINCOLN ST,"Single family home, no garage", Unoccupied  ,moderate rehabilitation needed,blank,-83.24292359,31.59899689,228731c6-2359-4bf9-b810-b32b599aeed1,blank,blank,blank,lot,lot_weeds
45e53869-4b82-4d36-8432-28beec30ab5f,OC160310033,318 N MAPLE ST,"Single family home, no garage",Occupied   ,dilapidated,blank,-83.2464204,31.59772125,41786e01-a0ee-48b2-83d3-4bff002cdb49,blank,blank,blank,lot,lot_satis
39c55ef4-42e7-451d-aa60-0add42ff1a9c,OC221120086,611 E SEVENTH STREET,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24162996,31.59751571,"b81b2e39-9e91-4604-a4a4-d42c8f5de746,5eb2138a-172a-4941-b89b-686b28c93cdc",5cc4b7c4-9b55-4844-b68b-e57078749f93,blank,blank,lot,lot_satis
b8f75548-85d4-4a8f-a7b6-25f088302639,OC221120087,703 E SEVENTH STREET,"Single family home, no garage",Occupied   ,moderate rehabilitation needed,blank,-83.24134225,31.59751313,"5fa7b980-7c99-452f-a9ed-c1798511e7e4,48a5742b-59e5-495e-b9f5-2a76e08d7e3f",0721a767-7a1a-402c-bc7f-8de850953cab,e584d49b-fc10-4014-a212-3d5eadd0f234,blank,lot,lot_satis
1d03033e-0052-4b32-a7b7-21a63cef4f1e,OC221130089,707 E SEVENTH STREET,"Single family home, no garage",Occupied   ,sound,blank,-83.24094544,31.59750022,"ada98ac1-b599-4f34-9e65-49c5b1c58a47,85e8330b-84ac-4479-bef0-78f1ce3078c3",blank,blank,blank,lot,lot_satis
5b3a5c78-d8d9-4b8f-a8c3-2233c2663750,OC16031003900A,308 E SIXTH STREET,"Single family home, no garage",Occupied   ,dilapidated,blank,-83.24672349,31.59704629,"ed2ba66d-d832-4e4c-a9ab-3e266dd0dc87,ff157ef5-1d9d-48ea-9a25-fa8f152384a8",blank,blank,blank,lot,lot_porchstorage
9abf3c84-a932-4749-9eba-fe3a297dd0ca,OC160310040,310 E SIXTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.24656912,31.59704519,d7040337-154b-4af9-ab60-e84be8d92ecc,blank,blank,blank,lot,lot_trees
d3421eaf-dfc7-4d40-a17f-68c30be8bb6c,OC160320056,303 N MAPLE ST,"Single family home, no garage", Unoccupied  ,minor repairs needed,blank,-83.2459861412644,31.5970332420515,"8c5a1d8f-e6c0-4e23-8f20-704ca91aabaa,50e275d8-203b-464f-8dbb-6b92964f4b2f",blank,blank,blank,lot,lot_weeds
04ef1706-2796-4e21-b76a-5c6cb02bb7ef,OC160310031,0 E SEVENTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.2469265,31.59757613,blank,blank,blank,blank,lot,lot_satis
d216742e-919d-4cef-b0bf-1b7dd8b5a9f5,OC221190077,704 E SEVENTH STREET,"Single family home, no garage",Occupied   ,moderate rehabilitation needed,blank,-83.24121378,31.59821704,454a1882-b175-4db9-ac42-9e89603f9c4a,0d755c74-94d6-4654-9bc4-515d0383efa5,blank,blank,lot,lot_satis
eb89d229-3963-46dc-8b6c-db5265ed9c7b,OC160310032,313 E SEVENTH STREET,Mobile home,Occupied   ,dilapidated,blank,-83.24655565,31.59773527,3ae4aa3f-c5db-4d89-8f1f-a8156f7cee1e,blank,blank,blank,lot,lot_trees
3ffd08f2-7494-4b58-90af-45520550c779,OC150050023,0 N ELM ST910,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24766677,31.60572129,be047f49-0a12-4cc0-8538-a9fab48b9422,blank,blank,blank,lot,lot_satis
f469ccfb-bedd-448f-a3a7-c3baa3b9ad78,OC150050025,0 N ELM ST305,Mobile home,Occupied   ,well maintained,blank,-83.24754799,31.60552841,84c2977d-6b4e-458b-919a-914e0793c8a6,blank,blank,blank,lot,lot_satis
d80e594e-e823-4f4c-9ee4-3f97279085e1,OC20   0014,101 PINE LN,"Single family home, detached garage",Occupied   ,well maintained,blank,-83.24056831,31.60829684,"dd811459-4dd2-4bb2-935a-f81eadac2b0b,1ed22942-1d9b-4fd4-9e08-9211f62751b2",blank,blank,blank,lot,lot_satis
d5af0ec6-2354-47a5-ba5f-be09a65e7786,OC20   0001,100 PINE CT,"Single family home, detached garage",Occupied   ,well maintained,blank,-83.24057111,31.60792103,"01eaac3f-0f5a-4e83-967b-d90a7a6ac0b4,81a80227-a06b-4513-b66b-05065d1e13bd",blank,blank,blank,lot,lot_satis
fbd67de6-b828-47bc-ba37-09a17086e357,OC150120085,601 PINE ST,Non-residential, Unoccupied  ,well maintained,This a church,-83.24407645,31.60716111,"e4f44933-69b9-4428-acde-9e160062522b,b23ef4e3-9956-4fb0-8c31-2760969a9e2d",blank,blank,blank,lot,lot_satis
bc01165b-d84b-48d3-bf7a-4db3f278eedc,OC150120090,609 E PINE ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24360392,31.60730015,"e1608c86-b0a8-43e1-bf78-f82413fba1b1,abe1a79c-18f5-4192-b861-6d2236a3d12c",blank,blank,blank,lot,lot_satis
4e424928-d024-42ac-bdf9-aee3b2e20890,OC150130102,1008 N LINCOLN ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24249025,31.60681567,"19428271-8d18-4275-9522-0fa618fe9eaa,0aaa8f08-e017-4d5f-8b11-1d799381b4f1",blank,blank,blank,lot,lot_satis
494bd231-b2ec-4f36-b810-5986c6607692,OC150120086,1009 N OAK ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24409477,31.60675745,"b8ac730c-4344-4d9f-98a9-29d9221f6335,e60d8869-fd7b-4ee9-ad5b-2b276e9f2a8d,1ddb9db2-93c7-48d3-87ef-1e22bf6dbfe8",blank,blank,blank,lot,lot_satis
ead04dec-cc3d-489b-96c0-6dba32cf7d0f,OC150130103,1002 LINCOLN ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24250086,31.60658912,"082bbfb4-64bb-4abb-be11-470e0867f043,016b4831-cb93-4df6-9fdb-5dff60bd9bb0",blank,blank,blank,lot,lot_satis
9e35fe96-c73f-4be3-8a82-30b0307777aa,OC150090055,510 FRANK RD,Mobile home,Occupied   ,well maintained,blank,-83.24475558,31.60646162,"f16f1892-c00a-4478-b3fd-6db6866c731a,45282a0e-91f2-479a-ba5f-5d15cbc213f1,74cd4c71-d18f-466f-8214-b09b5199c16d",blank,blank,blank,lot,lot_satis
e81d796c-f88b-40d7-9d41-69e61279bad3,OC150120087,1005 N OAK ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24410349,31.60656378,"3aff6ee3-cd6c-4897-983e-5f245095bb5b,1f2d795e-83cf-4e03-819d-d8251a77f3fa,db00b5d9-9c62-475f-8b23-16cc59b37609",blank,blank,blank,lot,lot_satis
3bb9a1f5-c303-4971-a2aa-06af1b8b3646,OC150040005,200 FRANK RD,"Single family home, detached garage",Occupied   ,well maintained,blank,-83.24870198,31.60649876,blank,blank,blank,blank,lot,lot_satis
36e311fc-1571-4810-abb8-28a1f98db598,OC150120088,600 FRANK RD,Non-residential, Unoccupied  ,well maintained,Laundromat,-83.24411308,31.60638625,"1c65a0f6-4179-459d-8bf7-c72fda1daf33,ee66f9f2-ea54-4dbb-8a02-36800a18a467",blank,blank,blank,lot,lot_satis
094b9f44-f84a-43a5-bebe-14a224945c5e,OC150130104,712 FRANK RD,"Single family home, attached garage",Occupied   ,moderate rehabilitation needed,blank,-83.24250598,31.60635188,"e8633826-d0fe-43bb-bad4-afe34e3ed3bd,0efc3fd7-467a-4af3-bbab-9faf22c8a0ce",blank,blank,blank,lot,lot_satis
d3eea937-7ce6-4627-97c7-e462cc8e94f4,OC150050022,911 N ELM ST,"Single family home, detached garage",Occupied   ,sound,blank,-83.24758922,31.60592162,9a2f22ab-90d8-4d0f-be72-1fcca75847c4,blank,blank,blank,lot,lot_satis
e6b66f44-5351-427e-987e-3db47ed6f9cf,OC150050024,807 N ELM ST,Mobile home,Occupied   ,sound,blank,-83.24771228,31.60558815,0fa00439-ef48-4720-9482-6ca7b2a42779,blank,blank,blank,lot,lot_satis
db5472cd-9968-4a3f-b09e-6caf1c6dcdb6,OC150090060,508 WATSON RD,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24531669,31.60546915,"33200b6a-2b16-4082-a583-9c335e81ce1c,32593385-5007-4f6c-9ddb-d542d19c8dbb",blank,blank,blank,lot,lot_satis
93258c0f-4c2b-417b-8a37-ad9cc57b935c,OC150080051,420 WATSON RD,Mobile home,Occupied   ,well maintained,blank,-83.2459825,31.60543002,"0665cb08-9feb-4257-9498-53adb34acb69,daecd395-8ff6-4cf7-88fb-cd0914e4f1d0",blank,blank,blank,lot,lot_satis
e3313676-d9f7-43e4-acd9-ee77f7115696,OC150080034,317 WATSON ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24670955,31.60509431,5b02a28f-0b8b-4eb4-a215-af524fec9a06,blank,blank,blank,lot,lot_satis
16bfc29f-5b5d-4d9e-9a80-6d6e6acfced4,OC150200072,0 N CARVER ST,Mobile home,Occupied   ,substantial rehabilitation needed,blank,-83.24621003,31.6044711,"cbff70d5-1e84-4a05-a41c-26c232a65073,f83e5476-0717-4f5a-b9aa-b3feb68f8024",blank,blank,blank,lot,lot_missingcover
65ce3a35-7997-4d2f-9454-326f1c7a4adb,OC150200077,0 N OAK ST,Mobile home, Unoccupied  ,well maintained,blank,-83.24491931,31.60426301,"e0b134a0-2d0e-4a02-92fc-b99a61b8292f,ff80bc63-80b2-4599-b044-7247a935c1e4",blank,blank,blank,lot,lot_satis
7b6a9a85-6010-4aec-90ea-7bd36e30eec6,OC15   0081,719 N CARVER ST,Mobile home,Occupied   ,well maintained,blank,-83.24616148,31.60371822,"a68408cc-d46e-46c8-95a1-6fa249e893a8,93c20dcc-6289-4be5-ac6a-db70c6288fa5",blank,blank,blank,lot,lot_satis
84da1b38-0f59-4e51-a110-d68a93432a58,OC21   0063,925 E ELEVENTH STREET,"Single family home, no garage",Occupied   ,well maintained,blank,-83.23786186,31.603029,blank,blank,blank,blank,lot,lot_satis
2ed9ad57-adb9-42cf-80b8-0ff2b23d42f8,OC21   0062,901 E ELEVENTH STREET,Mobile home,Occupied   ,well maintained,blank,-83.2386554,31.60296106,blank,blank,blank,blank,lot,lot_satis
bc066184-d6ab-4fe6-8d47-9eb10e6f7c54,OC211340061,823 E ELEVENTH STREET,"Single family home, no garage",Occupied   ,well maintained,blank,-83.23901635,31.60293736,blank,blank,blank,blank,lot,lot_satis
347420ec-adf0-48d7-84ac-bc270c6a7ff9,OC211330059,821 E ELEVENTH STREET,"Single family home, no garage",Occupied   ,well maintained,blank,-83.23937852,31.60287133,blank,blank,blank,blank,lot,lot_satis
2e0088b0-04a3-43d1-aa58-4052e573154e,OC211330056,819 east 11 street,"Single family home, no garage",Occupied   ,well maintained,blank,-83.23986897,31.60285387,blank,blank,blank,blank,lot,lot_satis
81818680-6786-4b9b-863a-c413f2149e5d,OC211330053,807 E ELEVENTH STREET,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24044477,31.60283073,blank,blank,blank,blank,lot,lot_satis
f1ddad61-3222-450d-a1a4-1d8d8b3d837d,OC221280017,813 E TENTH STREET,"Single family home, attached garage",Occupied   ,moderate rehabilitation needed,blank,-83.23994004,31.6016137,861e3674-86ad-4a36-b2de-530aa6d9f953,blank,blank,blank,lot,lot_satis
940f3181-a086-4d61-8f26-b66a1700ac73,OC221280019,616 ROOSEVELT ST,"Single family home, detached garage",Occupied   ,minor repairs needed,blank,-83.23995926,31.60143762,84c03a89-835f-4b9c-b2a0-34ac492c439b,blank,blank,blank,lot,lot_satis
3b4c730a-a9bf-4d7a-a2f9-34e163c7c588,OC221280024,612 ROOSEVELT ST,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.23991761,31.60113343,c2b86d7c-6eec-4e29-bcb1-e996ee3e4978,blank,blank,blank,lot,lot_satis
825969b7-29ef-439b-b6ad-7ba07e4ad7af,OC221280037,524 N ROOSEVELT ST,Vacant, Unoccupied  ,well maintained,blank,-83.2399261,31.60079488,8a413f27-77df-4355-97f1-48aecbb9d2df,blank,blank,blank,lot,lot_satis
388dbd61-7acf-4d28-b609-24da3672ee50,OC22   0036,0 N MCKINLEY ST,Vacant, Unoccupied  ,well maintained,blank,-83.24037065,31.60079827,f502c0e5-dcbd-4f68-8b87-5c315fdcbc01,blank,blank,blank,lot,lot_satis
70bc0886-3a2b-4545-8100-3c02285bc35e,OC221280038,0 N MCKINLEY ST,Vacant, Unoccupied  ,well maintained,blank,-83.24035123,31.60059205,b014bd8d-0500-41d2-a965-d2401588dc2a,blank,blank,blank,lot,lot_satis
f63ce4ed-0b34-41a1-8d19-7941b427a2c9,OC221280040,518 N ROOSEVELT ST,Vacant, Unoccupied  ,well maintained,blank,-83.23993427,31.60054736,3e3a318b-4c11-47e0-b4d3-91da6385cd28,blank,blank,blank,lot,lot_satis
f0312425-347c-4ca6-a18c-2a1625337920,OC221280039,517 MCKINLEY ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24033785,31.60042589,222460ab-d6fa-4435-be8f-9026f0136ed0,blank,blank,blank,lot,lot_satis
4d70db3a-e641-4c9f-a112-601abb0de7ec,OC221230041,520 N ROOSEVELT ST,Vacant, Unoccupied  ,well maintained,blank,-83.23993508,31.60038214,a993632d-d10d-41cd-87a8-3290fcee15bd,blank,blank,blank,lot,lot_satis
3d489516-3406-4ebf-b8ca-acdf7759290d,OC221220056,514 N MCKINLEY ST,"Single family home, attached garage",Occupied   ,well maintained,blank,-83.24083031,31.60012128,6b53e5d8-38eb-4a07-a54a-b0d2ca227aa2,blank,blank,blank,lot,lot_satis
2eeeb0b2-1064-4522-9a1c-04207414c8bd,OC221230043,522 N ROOSEVELT ST,"Single family home, no garage",Occupied   ,moderate rehabilitation needed,blank,-83.23993942,31.60020662,e1b3712f-f8d1-447d-8c11-bd1e93df24cc,blank,blank,blank,lot,lot_satis
37e85ffe-d807-450e-a413-09a68386214c,OC221230044,0 N ROOSEVELT ST,Vacant, Unoccupied  ,well maintained,blank,-83.23994318,31.60000148,ac9ca11b-e5a2-41dd-9b7b-37c55873091c,blank,blank,blank,lot,lot_satis
6792c569-f10a-441b-9524-c7c4a542d049,OC221230045,507 N MCKINLEY ST,"Single family home, no garage", Unoccupied  ,moderate rehabilitation needed,blank,-83.24027346,31.59990424,92a87cff-d3fb-4994-b7c7-4e4d7c4af7db,blank,blank,blank,lot,lot_satis
c2e95289-0508-4559-9858-c933b10f364c,OC221220060,506 N MCKINLEY ST,Vacant, Unoccupied  ,well maintained,blank,-83.24080457,31.59981656,2cbe20b0-de61-4d7f-a8f9-321b17cf1bf9,blank,blank,blank,lot,lot_satis
006669a4-35f1-4e76-8b18-69796567ead3,OC221280046,505 N MCKINLEY ST,"Single family home, no garage",Occupied   ,well maintained,blank,-83.24027677,31.5997064,011773f2-524f-40db-98c6-c6a4082e829e,blank,blank,blank,lot,lot_satis
89d670d1-a3e5-4cf3-bc5a-d2654104db35,OC221220061,710 E EIGHTH STREET,Mobile home,Occupied   ,well maintained,blank,-83.24080965,31.59949901,"76661b19-4df3-43c0-b42a-424e244a1202,bce9d6eb-7994-4662-a26f-c4aa9cf7b1f9",blank,blank,blank,lot,lot_satis
acbab4f6-e10d-4763-8413-e9e473c343a4,OC221230072,709 E EIGHTH STREET,Vacant, Unoccupied  ,well maintained,blank,-83.24058307,31.5990976,"b4f64367-d72a-409c-ab41-4b528b327c67,bd03c341-88fd-4eac-8c44-94863550ee11",blank,blank,blank,lot,lot_weeds
fc8b2bde-35a1-4d16-a26d-caf3ea1bf800,OC150130107,711 FRANK RD,"Single family home, detached garage",Occupied   ,well maintained,blank,-83.24255195,31.60562734,"e14bfff7-a5a6-4206-8cdf-71283437b08e,3215b549-1098-4dda-8c60-67c78d0d9926",blank,blank,blank,lot,lot_satis
abe19af6-c04f-44d2-8a2a-c618735211b4,OC20   0009,110 PINE CT,"Single family home, attached garage", Unoccupied  ,well maintained,blank,-83.23891787,31.6078916,"7e753d16-c79e-4d6b-922a-e444f62c9753,d1d42c24-409f-466d-9752-25f755184cac",blank,blank,blank,lot,lot_satis
